fecha,hora,localizacion,numero,tipo_accidente,tipo_vehiculo,tipo_persona,rango_edad,sexo,longitude,latitude,geohash,road_info,postcode,road,formatted,latitude_api,longitude_api,road_name_speed_api,hora_accidente,int_real,ocupacion,vmed,high_speed_point,hora_rango,flag,pred_lesividad_grave
1,17,21,19,2,2,1,6,3,-3.650452799679431,40.38822122558081,21,21,28018.0,21,21,40.3882187,-3.6504478,21,20,47.73108108108108,2.308108108108108,74.29,0,11,0,0.0
1,17,21,19,2,2,2,9,1,-3.650452799679431,40.38822122558081,21,21,28018.0,21,21,40.3882187,-3.6504478,21,20,47.73108108108108,2.308108108108108,74.29,0,11,0,
1,17,21,19,2,2,2,10,2,-3.650452799679431,40.38822122558081,21,21,28018.0,21,21,40.3882187,-3.6504478,21,20,47.73108108108108,2.308108108108108,74.29,0,11,0,
1,18,22,20,3,2,1,6,3,-3.6567525665572136,40.48804131207267,22,22,28050.0,22,22,40.4875232,-3.6561746,22,21,17.733031674208146,0.7737556561085973,62.4,0,10,0,
1,17,23,21,3,2,1,9,1,-3.6158165677830887,40.43090372128148,23,23,28037.0,23,23,40.4308672,-3.6158121,23,22,30.19891304347826,1.813043478260869,0.0,0,11,0,0.0
1,17,23,21,3,2,1,3,1,-3.6158165677830887,40.43090372128148,23,23,28037.0,23,23,40.4308672,-3.6158121,23,22,30.19891304347826,1.813043478260869,0.0,0,11,0,0.0
1,19,24,22,7,2,1,3,2,-3.6968438077728862,40.44916783132842,24,24,28020.0,24,24,40.448863,-3.6967005,24,23,49.84517766497462,2.446700507614213,0.0,0,13,0,0.0
1,19,24,22,7,2,1,12,2,-3.6968438077728862,40.44916783132842,24,24,28020.0,24,24,40.448863,-3.6967005,24,23,49.84517766497462,2.446700507614213,0.0,0,13,0,
1,19,25,23,8,2,1,3,2,-3.70888386445197,40.504454837113705,25,25,28049.0,25,25,40.5042999,-3.7096995,25,23,53.44988864142539,2.8552338530066814,76.31,0,13,0,0.0
1,19,25,23,8,2,3,12,2,-3.70888386445197,40.504454837113705,25,25,28049.0,25,25,40.5042999,-3.7096995,25,23,53.44988864142539,2.8552338530066814,76.31,0,13,1,0.0
1,19,26,24,3,6,1,5,2,-3.6918818487504335,40.3805310071691,26,26,28026.0,26,26,40.3805513,-3.6918592,14,23,74.70804195804196,3.685314685314685,70.5,1,13,0,
